ID,ResponseID,StartDate,Condition,ModelBonus,ModelAAEEstimate,HumanAAEEstimate,ModelConfidence,HumanConfidence,Age,Gender,Education,AAE,ModelAAE,HumanAAE,Bonus,BonusFromModel,BonusFromHuman,ChangesUsed,ChangesUsedMax10,CorrelationWithModel,AvDiffFromModel,AvAdjustmentSize,AdjustmentDividedByPotential,HumModelCorrelation,HumModelAvDiff,AvgLargest10Changes,Treatment,AnyBonus
29,R_0V475osqTdZ4lpj,21/10/2014 14:21,2,0,11,10,3,4,20,1,3,32.55,20.8,32.55,0,1,0,.,.,0.801658865,22.55,22.55,22.55,0.801658865,22.55,31.8,1,0
30,R_0VeORDdF9hn4iW1,22/10/2014 14:28,1,0,18,13,3,4,18,0,2,31.7,21.2,31.7,0,1,0,.,.,0.640486826,30.9,30.9,30.9,0.640486826,30.9,41.3,0,0
31,R_0VNTiFjMWvG7B6R,20/10/2014 12:55,4,.,20,20,4,4,20,0,3,18.55,16.5,18.55,2,2,2,.,.,0.843080807,11.25,11.25,11.25,0.843080807,11.25,15.6,1,1
32,R_0wI6USURXwUJRcN,20/10/2014 14:22,2,1,15,15,3,2,19,0,3,16.65,15.85,16.65,2,2,2,.,.,0.968983508,4,4,4,0.968983508,4,6.1,1,1
33,R_0xE1dSf3kwyIsPX,21/10/2014 12:21,4,.,15,9,3,3,18,0,2,18.6,20.45,18.6,2,1,2,.,.,0.957204332,6.05,6.05,6.05,0.957204332,6.05,8.5,1,1
34,R_1BlPcPMm9nuEjNr,22/10/2014 14:24,4,.,20,15,4,3,18,0,2,20.55,20.1,20.55,1,1,1,.,.,0.946174242,7.45,7.842105263,7.45,0.946174242,7.45,10.4,1,1
35,R_1Btkz9oI0eLZsTX,22/10/2014 12:42,2,1,20,50,1,2,54,1,2,17.5,17.7,17.5,2,2,2,.,.,0.989015565,2.8,4,2.8,0.989015565,2.8,5.1,1,1
36,R_1Cgz7baR5SCkCNf,21/10/2014 12:29,1,0,15,35,3,1,32,1,3,27.75,20.05,27.75,0,1,0,.,.,0.163096262,19.7,19.7,19.7,0.163096262,19.7,32.7,0,0
37,R_1GKyiv5oXgHhyAt,20/10/2014 15:27,3,1,20,10,3,3,20,0,3,27.9,21.45,27.9,0,1,0,9,9,0.676028938,7.55,16.77777778,15.1,0.676028938,7.55,15.1,1,0
38,R_1He0ragypVLrAah,23/10/2014 15:24,1,0,17,25,4,4,20,0,3,19.75,17.45,19.75,2,2,2,.,.,0.873404921,7.6,7.6,7.6,0.873404921,7.6,11.9,0,1
39,R_1IlaNPOTBgXIFaB,22/10/2014 13:24,3,1,20,20,3,3,.,.,.,19.4,18.3,19.4,2,2,2,11,10,0.784133546,8,16,16,0.736953773,9.45,16,1,1
40,R_1LDD6sUm1QFavMF,23/10/2014 14:27,3,1,17.5,15,3,2,27,1,6,17.3,17.7,17.3,2,2,2,7,7,0.939570504,4.9,14,9.8,0.939570504,4.9,9.8,1,1
41,R_1QR8NVwAEsgXWrH,21/10/2014 12:20,1,1,20,30,3,3,21,0,3,20,20,22.85,2,2,1,.,.,1,0,0,0,0.391762737,20.95,0,0,1
42,R_1RqlU3tZKmqCi9v,22/10/2014 14:17,1,0,17,20,3,3,21,0,5,18.6,20.05,18.6,2,1,2,.,.,0.517137896,21.15,21.15,21.15,0.517137896,21.15,30.9,0,1
43,R_1SuFaz7mq42qzTn,21/10/2014 13:26,2,1,17.5,0,2,5,23,1,3,18.6,15.75,18.6,2,2,2,.,.,0.936008832,5.75,7.1875,5.75,0.936008832,5.75,9.6,1,1
44,R_1TgBgTDNhBNfLZb,20/10/2014 12:42,2,1,20,50,3,3,24,0,5,21.6,21.15,21.6,1,1,1,.,.,0.98239063,2.55,2.55,2.55,0.98239063,2.55,3.6,1,1
45,R_1U0hrDOqJueuaDX,20/10/2014 12:38,2,1,17.5,10,4,2,20,1,3,16.2,17,16.2,2,2,2,.,.,0.982030796,3.8,4.75,3.8,0.982030796,3.8,6.3,1,1
46,R_1XGq8vmqcrgNiRf,21/10/2014 15:34,2,0,15,20,3,2,20,0,5,21.35,17.05,21.35,1,2,1,.,.,0.743457656,15.3,15.3,15.3,0.743457656,15.3,23.3,1,1
47,R_1ZaULOC4OQNw2G1,22/10/2014 13:31,4,.,30,30,3,4,23,0,5,16.85,16.05,16.85,2,2,2,.,.,0.968206451,4.9,5.157894737,4.9,0.968206451,4.9,7.6,1,1
48,R_1ZKfZD6bI40rMGN,21/10/2014 13:25,3,1,17,10,3,3,32,0,6,17.75,16.75,17.75,2,2,2,7,7,0.956787087,3.3,9.428571429,6.6,0.956787087,3.3,6.6,1,1
49,R_238wxsK3ujJKfoV,23/10/2014 14:26,4,.,17,20,3,2,19,0,3,20.95,20.25,20.95,1,1,1,.,.,0.887680635,9.8,10.88888889,9.8,0.887680635,9.8,15,1,1
50,R_25dHKOw7TOlvdfn,20/10/2014 14:26,1,0,16,16,3,2,22,0,5,17.15,19.25,17.15,2,2,2,.,.,0.758120573,11.9,12.52631579,11.9,0.758120573,11.9,19.8,0,1
51,R_2aRrf6nwsyNZNHL,23/10/2014 14:22,3,1,17,14,3,4,22,0,3,19.85,18.2,19.85,2,2,2,9,9,0.779006651,7.65,17,15.3,0.779006651,7.65,15.3,1,1
52,R_2biYsjOymCh0SQ5,22/10/2014 12:25,3,0,20,10,3,3,20,0,3,26.05,18.25,26.05,0,2,0,.,.,0.766642296,20.4,20.4,20.4,0.766642296,20.4,29.2,1,0
53,R_2cbkBd4Z8uKQWGN,20/10/2014 12:44,1,0,17.5,25,4,2,18,1,3,17.6,17.2,17.6,2,2,2,.,.,0.833375561,12.9,12.9,12.9,0.833375561,12.9,19.1,0,1
