ID,ResponseID,StartDate,Condition,ModelBonus,ModelAAEEstimate,HumanAAEEstimate,ModelConfidence,HumanConfidence,Age,Gender,Education,AAE,ModelAAE,HumanAAE,Bonus,BonusFromModel,BonusFromHuman,ChangesUsed,ChangesUsedMax10,CorrelationWithModel,AvDiffFromModel,AvAdjustmentSize,AdjustmentDividedByPotential,HumModelCorrelation,HumModelAvDiff,AvgLargest10Changes,Treatment,AnyBonus
126,R_5vF2BIpRhehahCd,23/10/2014 15:28,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.
127,R_6Ap9KVtJ3oZbNnT,20/10/2014 12:18,2,0,20,20,4,3,19,0,3,23.65,17.95,23.65,1,2,1,.,.,0.734384135,13.9,13.9,13.9,0.734384135,13.9,21.4,1,1
128,R_6Frj6kBoE5JYzL7,20/10/2014 14:27,4,.,20,20,4,4,22,0,6,19.9,18.5,19.9,2,2,2,.,.,0.968395165,6.2,6.2,6.2,0.968395165,6.2,8.6,1,1
129,R_6G2ZihEKE27d2qF,22/10/2014 13:20,1,0,17,12,2,3,19,0,3,31,16.75,31,0,2,0,.,.,0.618897998,30.35,30.35,30.35,0.618897998,30.35,40.4,0,0
130,R_6hdEUjUJT0biKG1,20/10/2014 12:22,3,1,10,10,4,3,21,0,3,18.5,16.3,18.5,2,2,2,7,7,0.883327065,5.7,16.28571429,11.4,0.883327065,5.7,11.4,1,1
131,R_6hEZ5JPrOexZWgl,21/10/2014 15:35,3,1,15,10,3,3,19,0,3,18.85,18.6,18.85,2,2,2,8,8,0.942538891,4.95,12.375,9.9,0.942538891,4.95,9.9,1,1
132,R_6JPS1VlaXKeKlPD,20/10/2014 15:32,1,0,17,5,2,2,19,0,3,17.45,15.75,17.45,2,2,2,.,.,0.885669397,11.3,11.3,11.3,0.885669397,11.3,17.6,0,1
133,R_6osTe8XQPkOxFOJ,22/10/2014 15:24,4,.,8,20,2,1,20,1,2,14.9,18.4,14.9,3,2,3,.,.,0.914111686,7.3,7.684210526,7.3,0.914111686,7.3,11.2,1,1
134,R_6P8zjbFJZYoaFlr,23/10/2014 14:25,1,1,6,20,3,2,33,0,5,15,15,16.25,3,3,2,.,.,1,0,0,0,0.79689347,8.35,0,0,1
135,R_6rmWr2h4iNZRjil,20/10/2014 12:36,1,1,12,30,3,2,21,1,2,17.1,17.1,18.15,2,2,2,.,.,1,0,0,0,0.74977253,11.65,0,0,1
136,R_6teANGhWJuze43X,21/10/2014 13:45,4,.,45,50,5,4,30,1,3,18.05,19.25,18.05,2,2,2,.,.,0.867717882,19.3,20.31578947,19.3,0.867717882,19.3,29.6,1,1
137,R_6tkfiPJlwOPzbnL,21/10/2014 13:40,3,0,17,20,4,3,30,1,6,23.25,18.15,23.25,1,2,1,.,.,0.589759357,16.2,16.2,16.2,0.589759357,16.2,27,1,1
138,R_6tyxSrn8CSe7TRH,20/10/2014 13:24,3,1,10,15,3,2,23,0,5,24.65,21.2,24.65,1,1,1,9,9,0.79194029,6.85,15.22222222,13.7,0.79194029,6.85,13.7,1,1
139,R_6u8sYqIFKhQyfFb,20/10/2014 12:22,1,0,25,20,2,3,21,0,2,21.55,18.5,21.55,1,2,1,.,.,0.568664601,21.05,21.05,21.05,0.568664601,21.05,29.2,0,1
140,R_6uszGKTK5KqwJyR,20/10/2014 12:35,3,1,22,13,4,3,20,1,2,17.6,18.85,17.6,2,2,2,10,10,0.895798764,6.75,13.5,13.5,0.895798764,6.75,13.5,1,1
141,R_6W0ioFhhWoJvC3r,23/10/2014 12:25,4,.,8,7,3,3,18,1,3,21.15,20.3,21.15,1,1,1,.,.,0.944391965,4.85,5.105263158,4.85,0.944391965,4.85,8,1,1
142,R_6WCxUqvAEWy2HIx,21/10/2014 13:31,1,0,20,10,3,3,19,1,3,22.35,19.7,22.35,1,2,1,.,.,0.717436779,16.35,17.21052632,16.35,0.717436779,16.35,24.5,0,1
143,R_6WjquTdyHzC9dLT,20/10/2014 15:20,4,.,15,10,3,3,19,1,3,17.8,17.05,17.8,2,2,2,.,.,0.918943432,6.55,7.277777778,6.55,0.918943432,6.55,10.2,1,1
144,R_6WssZXytwIaZ8a1,23/10/2014 12:24,3,1,20,25,4,4,21,0,3,21,18.35,21,1,2,1,8,8,0.821553695,5.55,13.875,11.1,0.821553695,5.55,11.1,1,1
145,R_6xnEVY6X4esiJUh,20/10/2014 14:30,2,1,16,12,4,4,18,1,3,20.65,18.25,20.65,1,2,1,.,.,0.944338429,6.8,6.8,6.8,0.944338429,6.8,9.2,1,1
146,R_6XxyD8UXfI67zQV,23/10/2014 12:30,1,1,20,30,3,2,18,0,2,18.7,18.7,30.75,2,2,0,.,.,1,0,0,0,0.680685539,21.05,0,0,1
147,R_6YizhsoJSTK4Cbz,20/10/2014 13:59,2,1,34,35,4,5,39,1,4,19.1,20,19.1,2,2,2,.,.,0.970840614,3.6,4,3.6,0.970840614,3.6,6.1,1,1
148,R_6zXWqjaooOsPf8N,21/10/2014 15:18,2,1,6,4,4,4,20,0,2,19.4,18.2,19.4,2,2,2,.,.,0.966985413,4.8,4.8,4.8,0.966985413,4.8,6.4,1,1
149,R_6zYGdgPGRZB0gW9,20/10/2014 13:22,3,1,15,21,4,4,23,0,5,17.15,16.45,17.15,2,2,2,8,8,0.885785049,6.1,15.25,12.2,0.885785049,6.1,12.2,1,1
150,R_720OQHpYOiTyqpL,22/10/2014 13:41,3,1,17,20,4,3,20,0,3,22.3,20.8,22.3,1,1,1,8,8,0.892175869,4,10,8,0.892175869,4,8,1,1
151,R_787Dg1J2vrQXHEx,20/10/2014 12:30,4,.,20,8,4,4,20,1,5,23.7,18.45,23.7,1,2,1,.,.,0.756847454,13.05,13.05,13.05,0.756847454,13.05,21.7,1,1
152,R_7aK8pFrs5eQb4UZ,23/10/2014 15:28,3,0,15,15,3,4,21,0,5,22.35,20.1,22.35,1,1,1,.,.,0.688784601,16.25,16.25,16.25,0.688784601,16.25,23.8,1,1
153,R_7NT0U6PoblMdgKF,21/10/2014 15:45,4,.,5,4,4,3,18,0,3,16.1,16.65,16.1,2,2,2,.,.,0.959136626,3.95,5.266666667,3.95,0.959136626,3.95,6.5,1,1
154,R_7PBuTIjuwiDEcBL,20/10/2014 15:44,4,.,20,10,3,3,18,0,3,24.5,17.65,24.5,1,2,1,.,.,0.850210417,10.45,11.61111111,10.45,0.850210417,10.45,17.2,1,1
155,R_7QjDyZMJ5pkaCBD,20/10/2014 13:41,1,1,17.5,10,3,3,21,0,3,19.65,19.65,37.65,2,2,0,.,.,1,0,0,0,0.661860489,33.4,0,0,1
156,R_7QwEPN0b2WNIcQd,20/10/2014 12:24,1,1,10,15,3,2,20,0,3,19.15,19.15,25.3,2,2,0,.,.,1,0,0,0,0.645925768,20.05,0,0,1
157,R_7UqGYRtUEUc5qhD,23/10/2014 12:24,2,1,15,20,3,3,22,0,5,18.7,20.45,18.7,2,1,2,.,.,0.957193832,4.95,4.95,4.95,0.957193832,4.95,6.7,1,1
158,R_836MW4s34qpfxXv,20/10/2014 13:22,1,1,15,20,3,4,18,1,2,17.05,17.05,21.65,2,2,1,.,.,1,0,0,0,0.837951373,20.3,0,0,1
159,R_89fQzHdQbvMwpsV,23/10/2014 12:25,3,0,17.5,10,4,4,20,1,2,29.75,17.35,29.75,0,2,0,.,.,0.580062245,18.4,18.4,18.4,0.580062245,18.4,28.4,1,0
160,R_8Ak6xHlLmD5Cgbr,22/10/2014 13:31,1,0,30,10,3,3,20,0,2,31.8,19.75,31.8,0,2,0,.,.,0.42536693,25.25,25.25,25.25,0.42536693,25.25,38.1,0,0
161,R_8bRGHUGWAZzw56J,21/10/2014 12:23,3,1,17.5,12,3,3,19,1,3,21.55,21.1,21.55,1,1,1,10,10,0.967601499,3.55,7.1,7.1,0.967601499,3.55,7.1,1,1
162,R_8dduvK9e7LEpWrX,22/10/2014 12:33,4,.,17.5,12,3,3,18,1,2,23.8,20.95,23.8,1,1,1,.,.,0.830550352,8.75,9.210526316,8.75,0.830550352,8.75,13.5,1,1
163,R_8dhEET0US90MZLf,20/10/2014 15:35,1,0,15,20,4,2,21,1,3,18.95,16.1,18.95,2,2,2,.,.,0.833686957,14.95,15.73684211,14.95,0.833686957,14.95,22.7,0,1
164,R_8dp64CaDuOl67OJ,22/10/2014 12:43,1,0,17.5,15,3,3,23,0,5,30.85,17.9,30.85,0,2,0,.,.,0.692607756,19.55,19.55,19.55,0.692607756,19.55,28.2,0,0
165,R_8es3woZ3S7kwF13,21/10/2014 13:28,1,0,12,8,2,3,28,1,4,26.5,19.55,26.5,0,2,0,.,.,0.479891219,25.25,25.25,25.25,0.479891219,25.25,33.8,0,0
166,R_8FX6KiNJrQpZZc1,21/10/2014 12:03,1,0,10,10,3,4,20,0,3,25.5,17.75,25.5,0,2,0,.,.,0.71466402,20.75,20.75,20.75,0.71466402,20.75,31.2,0,0
167,R_8GjTlYOO7l8OFvf,21/10/2014 15:18,4,.,17.5,20,3,2,22,0,5,21.05,19.25,21.05,1,2,1,.,.,0.885204097,8.9,8.9,8.9,0.885204097,8.9,13.9,1,1
168,R_8IBcIlLtLVxoNgN,20/10/2014 13:37,1,0,20,20,4,2,20,0,3,23.4,17.35,23.4,1,2,1,.,.,0.747746692,21.75,21.75,21.75,0.747746692,21.75,30.3,0,1
169,R_8IDO9lkGEEV47nD,20/10/2014 15:55,4,.,56,3,4,4,22,1,5,18.5,18,18.5,2,2,2,.,.,0.907488876,4.6,5.111111111,4.6,0.907488876,4.6,7.6,1,1
170,R_8iGRJfpFjOiVnvf,22/10/2014 13:24,2,1,17,12,3,2,26,0,5,16.9,18.85,16.9,2,2,2,.,.,0.966707274,5.75,5.75,5.75,0.966707274,5.75,7.7,1,1
171,R_8ihYQhm1iJuvCmh,23/10/2014 12:24,4,.,15,15,3,3,22,1,5,19.05,19.1,19.05,2,2,2,.,.,0.922986248,6.15,7.235294118,6.15,0.922986248,6.15,9.1,1,1
172,R_8InHqY3QJNYUzaJ,22/10/2014 12:40,4,.,5,5,3,4,56,1,2,18.8,20.55,18.8,2,1,2,.,.,0.889511367,8.05,8.473684211,8.05,0.889511367,8.05,11.1,1,1
173,R_8jskne4dvDWCXTT,20/10/2014 12:37,4,.,10,10,3,2,20,0,2,20.35,19.9,20.35,1,2,1,.,.,0.985893465,3.75,3.947368421,3.75,0.985893465,3.75,5.1,1,1
174,R_8ldQ1VBrNxXeQPX,21/10/2014 14:26,3,1,17,15,4,3,21,1,3,15.6,14.55,15.6,2,3,2,8,8,0.972769074,2.55,6.375,5.1,0.972769074,2.55,5.1,1,1
175,R_8qYxzm7kkxNseFf,23/10/2014 15:28,2,1,7,8,2,3,18,1,2,17.6,18.85,17.6,2,2,2,.,.,0.97956804,5.25,5.25,5.25,0.97956804,5.25,7.5,1,1
176,R_8tUobSO3t1hSpwx,21/10/2014 12:27,2,0,17.2,20,4,3,19,0,3,32,18.4,32,0,2,0,.,.,0.5764878,20.1,20.1,20.1,0.5764878,20.1,28.3,1,0
177,R_8wivbnKbLPgmOdD,22/10/2014 15:43,3,1,11,18,5,4,31,0,6,15.95,15.8,15.95,2,2,2,9,9,0.929928865,4.25,9.444444444,8.5,0.929928865,4.25,8.5,1,1
178,R_8wXrHWQvq9vnQKV,21/10/2014 14:20,4,.,7,10,2,2,18,1,3,19.45,18.85,19.45,2,2,2,.,.,0.973207988,4.1,4.555555556,4.1,0.973207988,4.1,5.9,1,1
179,R_9AM6UipeUmQEkQt,20/10/2014 14:25,4,.,5,2,3,3,22,1,6,19.35,17.8,19.35,2,2,2,.,.,0.924008055,5.45,6.055555556,5.45,0.924008055,5.45,9,1,1
180,R_9Hb1IKA7JAeRQoJ,20/10/2014 12:42,3,0,20,20,4,3,19,0,3,21.4,18.8,21.4,1,2,1,.,.,0.88644046,12.2,12.2,12.2,0.88644046,12.2,18,1,1
181,R_9MFYOOXb5lr0BbT,21/10/2014 12:36,2,1,10,5,4,3,21,1,3,14.75,16.4,14.75,3,2,3,.,.,0.976507846,5.35,5.35,5.35,0.976507846,5.35,7.9,1,1
182,R_9mHEIzX9kQvdSER,23/10/2014 13:22,1,0,17.5,15,3,3,19,0,2,21.75,17.65,21.75,1,2,1,.,.,0.825887162,9,9,9,0.825887162,9,15.1,0,1
183,R_9MpC4r1bRICdsDH,20/10/2014 15:29,4,.,18,20,4,3,18,0,2,17.75,17.6,17.75,2,2,2,.,.,0.914799993,6.75,6.75,6.75,0.914799993,6.75,9.3,1,1
184,R_9QtuYKISReTiqix,21/10/2014 14:19,2,1,12,8,4,4,19,0,3,15.75,17.05,15.75,2,2,2,.,.,0.975902102,6.1,6.1,6.1,0.975902102,6.1,8.1,1,1
185,R_9QXVSNG7RhOZPHT,20/10/2014 13:31,4,.,1,2,4,2,20,0,5,17.25,16.95,17.25,2,2,2,.,.,0.971076775,3.7,4.933333333,3.7,0.971076775,3.7,6.1,1,1
186,R_9R1ldH6r8UqKZQ9,21/10/2014 13:28,4,.,15,15,3,3,19,0,2,21.4,20.95,21.4,1,1,1,.,.,0.876526832,11.05,11.05,11.05,0.876526832,11.05,15.9,1,1
187,R_9sqcIBMPI6t6evH,23/10/2014 13:18,2,1,20,15,4,3,20,0,2,18.9,18.85,18.9,2,2,2,.,.,0.939347608,6.25,6.25,6.25,0.939347608,6.25,8.5,1,1
188,R_9t26W0FnE7A8cLj,22/10/2014 14:25,2,1,10,10,3,3,19,0,3,19.55,19.55,19.55,2,2,2,.,.,0.95590918,5.4,6.352941176,5.4,0.95590918,5.4,7.9,1,1
189,R_9TgmrmaNfYqAIm1,21/10/2014 12:23,2,1,10,10,4,4,20,0,3,20.85,20.3,20.85,1,1,1,.,.,0.976466011,3.85,4.8125,3.85,0.976466011,3.85,6,1,1
190,R_9TwEOdratKiem7b,20/10/2014 12:46,3,0,15,15,3,4,20,0,3,30.85,15.9,30.85,0,2,0,.,.,0.732204749,24.05,24.05,24.05,0.732204749,24.05,32.9,1,0
191,R_9vFS5D3CaTOryjX,21/10/2014 12:20,3,1,15,10,2,3,19,0,3,15.4,15.3,15.4,2,2,2,11,10,0.955610772,3.5,7,7,0.950031792,3.85,7,1,1
192,R_9WUUwYoGeYfpATX,20/10/2014 14:24,3,1,70,30,3,3,29,0,4,19.15,17.9,19.15,2,2,2,9,9,0.915080465,6.45,14.33333333,12.9,0.915080465,6.45,12.9,1,1
193,R_9WZhak14q4FKoMB,22/10/2014 14:31,1,1,25,25,3,2,20,0,3,21.65,21.65,26.4,1,1,0,.,.,1,0,0,0,0.369776353,16.45,0,0,1
194,R_9yNasRlayBejJCR,20/10/2014 12:35,1,0,15,20,3,2,21,0,4,28.5,18.1,28.5,0,2,0,.,.,0.746094049,22.8,22.8,22.8,0.746094049,22.8,31.4,0,0
195,R_9zO9GvruPR9TILX,22/10/2014 15:27,4,.,10,5,2,2,18,1,2,18.45,19.3,18.45,2,2,2,.,.,0.800685802,10.35,10.35,10.35,0.800685802,10.35,15.9,1,1
196,R_a03gTEgVRMA8xgx,21/10/2014 13:23,2,1,17,9,4,3,27,0,6,19.3,19.3,19.3,2,2,2,.,.,0.976814571,4.3,4.526315789,4.3,0.976814571,4.3,6.3,1,1
197,R_a3s97k6eCT6PCy9,21/10/2014 13:43,1,0,17.5,10,4,3,21,1,3,28.7,22.5,28.7,0,1,0,.,.,0.811636488,16.8,16.8,16.8,0.811636488,16.8,24.2,0,0
198,R_a432C4kXRXSkk3r,21/10/2014 15:23,4,.,20,20,3,3,20,0,3,21.35,19.3,21.35,1,2,1,.,.,0.917040738,6.25,8.928571429,6.25,0.917040738,6.25,11.6,1,1
199,R_a4z8eOPdw95nYup,21/10/2014 15:18,3,0,10,10,3,4,19,1,2,19.55,15.1,19.55,2,2,2,.,.,0.805991799,14.35,14.35,14.35,0.805991799,14.35,21.7,1,1
200,R_a8Jk8U6JIAS077n,20/10/2014 12:43,1,0,15,10,3,3,20,0,3,42.85,21,42.85,0,1,0,.,.,0.344136816,32.45,34.15789474,32.45,0.344136816,32.45,44.4,0,0
201,R_a9UdinogFe703OJ,20/10/2014 14:31,4,.,3,15,4,3,20,0,2,21.1,19.05,21.1,1,2,1,.,.,0.921542044,5.05,7.769230769,5.05,0.921542044,5.05,9.2,1,1
202,R_abB8QCVBr1sKDKl,20/10/2014 13:38,2,1,15,5,4,4,21,0,5,18.8,19.4,18.8,2,2,2,.,.,0.960189149,4.6,5.75,4.6,0.960189149,4.6,7.6,1,1
203,R_abD5UNz2ggUR1GZ,22/10/2014 15:29,1,0,17.5,15,2,2,22,0,3,22.3,18.95,22.3,1,2,1,.,.,0.828123281,12.55,13.21052632,12.55,0.828123281,12.55,19.8,0,1
204,R_abjAX55a8f05LmZ,20/10/2014 12:31,2,0,17.5,15,3,3,21,0,3,24.45,15.45,24.45,1,2,1,.,.,0.782551876,20,20,20,0.782551876,20,29.5,1,1
205,R_afNHnHWw8t1LOv3,21/10/2014 12:28,3,1,5,10,4,3,29,1,4,23.1,18.5,23.1,1,2,1,20,10,0.554568148,14.8,29.6,29.6,0.692350232,28.95,29.6,1,1
206,R_afS4uwa14GjT6yV,21/10/2014 15:44,1,0,12,15,4,3,18,0,2,24.05,17.1,24.05,1,2,1,.,.,0.748802213,16.65,17.52631579,16.65,0.748802213,16.65,26.9,0,1
207,R_agiNp7nODQuWa3j,21/10/2014 14:24,4,.,17,17,4,4,19,0,3,21.9,21.5,21.9,1,1,1,.,.,0.916788466,5.3,5.578947368,5.3,0.916788466,5.3,8.6,1,1
208,R_aW5MI8SYVT54Lch,20/10/2014 12:44,2,0,10,20,4,3,19,0,3,19.55,20.9,19.55,2,1,2,.,.,0.737127169,11.35,11.35,11.35,0.737127169,11.35,18.6,1,1
209,R_aWuIWfQSsWJFffv,21/10/2014 13:26,3,1,10,8,4,4,19,0,3,19.85,16.85,19.85,2,2,2,10,10,0.904066404,4.7,9.4,9.4,0.904066404,4.7,9.4,1,1
210,R_aXB5A7A1PeL9xYh,22/10/2014 12:39,3,1,10,15,3,4,21,1,2,24,22.2,24,1,1,1,8,8,0.914777411,5,12.5,10,0.914777411,5,10,1,1
211,R_b27PiDLUkYIbEnH,23/10/2014 15:32,2,0,25,15,4,3,20,0,3,26.5,18.1,26.5,0,2,0,.,.,0.831310826,14.4,16,14.4,0.831310826,14.4,23.5,1,0
212,R_b7mNBK9ftPp7Ms5,23/10/2014 12:24,1,0,17.5,17,3,3,24,0,6,21.55,17.7,21.55,1,2,1,.,.,0.78554397,15.45,15.45,15.45,0.78554397,15.45,23.1,0,1
213,R_b7xKLYGdVw4GlGl,20/10/2014 14:25,1,0,17,25,4,4,21,0,5,26.8,19.2,26.8,0,2,0,.,.,0.471612865,19.1,19.1,19.1,0.471612865,19.1,31.3,0,0
214,R_b8G7XxMLhvG423z,20/10/2014 12:45,4,.,8,10,4,4,21,1,3,17.25,15.15,17.25,2,2,2,.,.,0.931926443,5,5.555555556,5,0.931926443,5,8,1,1
215,R_b93bvrHAl8bDUfb,20/10/2014 15:29,1,0,17,20,4,4,19,0,3,19.9,18.9,19.9,2,2,2,.,.,0.812122202,11.8,11.8,11.8,0.812122202,11.8,16,0,1
216,R_b9mu3N6QH20Klwx,20/10/2014 12:40,4,.,50,25,3,1,54,1,4,21.2,17.95,21.2,1,2,1,.,.,0.554456084,11.15,22.3,11.15,0.554456084,11.15,22.3,1,1
217,R_bDAS68rJgVbK8TP,23/10/2014 13:22,2,1,17.5,17,3,3,26,1,5,15.9,17.7,15.9,2,2,2,.,.,0.98217766,4.8,4.8,4.8,0.98217766,4.8,6.3,1,1
218,R_bDVtxPmDmEQTqXb,22/10/2014 12:40,1,0,17.3,17.3,4,4,36,1,3,30.4,15.45,30.4,0,2,0,.,.,0.540374932,26.95,26.95,26.95,0.540374932,26.95,40.5,0,0
219,R_bEghma6fWR5bVRP,23/10/2014 15:26,4,.,17,15,2,2,21,0,3,17.2,18.65,17.2,2,2,2,.,.,0.905646608,7.85,8.263157895,7.85,0.905646608,7.85,12.3,1,1
220,R_bfJchM4ztDNs8Bv,21/10/2014 15:16,1,0,9,5,2,4,19,1,3,27.55,19.85,27.55,0,2,0,.,.,0.762113913,18.3,18.3,18.3,0.762113913,18.3,28.7,0,0
221,R_bfPqygWCRYLkIiF,23/10/2014 14:28,4,.,20,10,4,4,23,0,5,27.45,16.35,27.45,0,2,0,.,.,0.441875634,19.8,19.8,19.8,0.441875634,19.8,31.3,1,0
222,R_bIwRo2Ko2tFN05D,21/10/2014 15:35,4,.,20,15,3,3,19,0,2,18.9,16.9,18.9,2,2,2,.,.,0.868608941,12.7,12.7,12.7,0.868608941,12.7,19.4,1,1
223,R_bJFFowCIjB6NVXv,23/10/2014 14:24,2,0,17,15,3,2,.,.,.,25.3,19.2,25.3,0,2,0,.,.,0.579851186,13.7,13.7,13.7,0.579851186,13.7,22.4,1,0
224,R_bNKn4KVsxrV0UwR,21/10/2014 13:39,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.
225,R_bNkyGm8rY1Ee5fv,22/10/2014 13:26,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.
226,R_bNSexPKyJLolALr,22/10/2014 12:22,3,1,17.5,10,3,2,19,0,3,19.5,17.65,19.5,2,2,2,9,9,0.943237475,4.45,9.888888889,8.9,0.943237475,4.45,8.9,1,1
227,R_bOtL91gB8HJTBHf,23/10/2014 14:33,1,1,10,15,4,2,23,1,6,16.95,16.95,24.85,2,2,1,.,.,1,0,0,0,0.630467707,16.9,0,0,1
228,R_bP1YuZdwkMxVLlH,20/10/2014 14:29,3,1,10,25,4,3,18,1,3,20.6,17.55,20.6,1,2,1,7,7,0.876583199,5.55,15.85714286,11.1,0.876583199,5.55,11.1,1,1
229,R_bPnThkTkPYlfJit,20/10/2014 12:20,4,.,12,14,4,4,19,0,3,21.7,19.5,21.7,1,2,1,.,.,0.939201445,6.1,6.777777778,6.1,0.939201445,6.1,10.2,1,1
230,R_bqPfePhreNCGSLr,23/10/2014 12:24,1,0,15,17,4,4,.,.,.,32.9,20.8,32.9,0,1,0,.,.,0.437675245,21.4,21.4,21.4,0.437675245,21.4,33.8,0,0
231,R_br6PFx3QUrC4eG1,20/10/2014 13:25,1,0,18,15,4,2,18,0,3,18.85,17.35,18.85,2,2,2,.,.,0.667979741,15.6,16.42105263,15.6,0.667979741,15.6,24.6,0,1
232,R_bvymo8FAz5BfV9X,23/10/2014 15:26,1,0,15,20,4,3,20,1,3,24.05,22.15,24.05,1,1,1,.,.,0.726550354,14,14.73684211,14,0.726550354,14,24.1,0,1
233,R_byhAQq75wP7uSEt,20/10/2014 13:41,3,1,17,10,4,4,19,0,2,23.55,20.9,23.55,1,1,1,10,10,0.894278282,6.45,12.9,12.9,0.894278282,6.45,12.9,1,1
234,R_cDeFz9qjaKWnRCl,22/10/2014 15:23,3,1,10,6,4,4,18,0,3,17.55,16.55,17.55,2,2,2,9,9,0.901886019,5.5,12.22222222,11,0.901886019,5.5,11,1,1
235,R_cFU3kCCRyjiAy0t,22/10/2014 15:24,1,0,17.5,15,3,3,21,0,3,17.3,18,17.3,2,2,2,.,.,0.763883287,16.9,16.9,16.9,0.763883287,16.9,23.8,0,1
236,R_cI98ekYZKjlq78p,21/10/2014 15:35,2,1,4,4,3,3,18,1,3,16.55,14.75,16.55,2,3,2,.,.,0.965233125,4.7,5.222222222,4.7,0.965233125,4.7,7.1,1,1
237,R_cII7UvKJG7ToInP,23/10/2014 15:28,4,.,10,7,3,3,18,0,3,15.9,17.85,15.9,2,2,2,.,.,0.836649253,9.25,9.736842105,9.25,0.836649253,9.25,14.9,1,1
238,R_cLU2gcQ5K5nlDHn,21/10/2014 15:39,2,1,7,7,3,3,22,0,2,16.95,15.95,16.95,2,2,2,.,.,0.979056225,5.7,6.333333333,5.7,0.979056225,5.7,8.2,1,1
239,R_cMuMQvhgVbgR2gB,20/10/2014 13:32,3,1,30,25,3,3,25,0,3,18.3,18.05,18.3,2,2,2,14,10,0.970484268,3.75,7.5,7.5,0.950515417,5.45,7.5,1,1
240,R_cOc5HHi1tYPC0Bf,20/10/2014 15:23,2,0,15,15,3,2,18,0,3,38.25,16.6,38.25,0,2,0,.,.,0.752746728,30.95,30.95,30.95,0.752746728,30.95,40,1,0
241,R_cT4HHL0u05yvD8N,22/10/2014 15:35,3,0,40,20,4,4,23,0,5,22.7,17,22.7,1,2,1,.,.,0.625643267,13.7,13.7,13.7,0.625643267,13.7,22.4,1,1
242,R_ctK8DXziGG1CprT,22/10/2014 12:34,3,1,10,15,3,3,23,0,6,14.45,16.05,14.45,3,2,3,9,9,0.940198599,5.9,13.11111111,11.8,0.940198599,5.9,11.8,1,1
243,R_ctZwSCQ11V5KcaF,22/10/2014 13:21,2,1,17,10,3,4,20,0,3,17.6,16.45,17.6,2,2,2,.,.,0.938273283,5.15,6.866666667,5.15,0.938273283,5.15,8.7,1,1
244,R_cUTUq7uaQwVbbsp,22/10/2014 14:16,3,1,15,13,3,3,20,1,3,15.55,17.05,15.55,2,2,2,10,10,0.762212761,4.8,9.6,9.6,0.762212761,4.8,9.6,1,1
245,R_cvVgQKmqwZr8FEx,22/10/2014 15:29,2,1,7,10,3,1,18,0,3,17.9,18.05,17.9,2,2,2,.,.,0.992322243,3.25,3.611111111,3.25,0.992322243,3.25,4.8,1,1
246,R_cXU9l91syk9ebFb,23/10/2014 12:22,3,0,6,10,3,3,22,1,5,33.95,17.6,33.95,0,2,0,.,.,0.250099217,23.75,23.75,23.75,0.250099217,23.75,36.4,1,0
247,R_d1hfktHWMkUgwKx,22/10/2014 14:38,4,.,17,17,2,3,.,.,.,15.7,16.35,15.7,2,2,2,.,.,0.819839105,6.85,8.058823529,6.85,0.819839105,6.85,11.3,1,1
248,R_d6cIOEpaymuwgCN,23/10/2014 12:24,1,1,6,6,4,2,34,1,6,17.55,17.55,22,2,2,1,.,.,1,0,0,0,0.793293888,16.05,0,0,1
249,R_d6FZ9f9OJER0Psx,20/10/2014 15:27,2,1,17,17,3,3,21,0,3,15.5,15.85,15.5,2,2,2,.,.,0.946533747,6.95,6.95,6.95,0.946533747,6.95,9.3,1,1
250,R_dbNDBvB4y8pg7DD,20/10/2014 15:34,3,1,17.5,20,4,3,23,0,6,19.1,19.3,19.1,2,2,2,10,10,0.941536537,4.5,9,9,0.941536537,4.5,9,1,1
251,R_dcXhGM6BOTtcN81,21/10/2014 13:34,2,1,3,5,5,4,21,1,5,19.55,18.75,19.55,2,2,2,.,.,0.968068107,4.6,4.842105263,4.6,0.968068107,4.6,6.2,1,1
252,R_ddmv3MPAyyTs1mt,23/10/2014 13:21,4,.,17.5,20,3,2,21,1,3,17.25,16.75,17.25,2,2,2,.,.,0.947352066,4.3,5.375,4.3,0.947352066,4.3,7.2,1,1
253,R_dhSgbI0XUAdm88l,22/10/2014 14:30,4,.,10,15,2,2,19,0,2,21.05,18.4,21.05,1,2,1,.,.,0.88927383,8.85,9.315789474,8.85,0.88927383,8.85,13.7,1,1
254,R_dih8x5W46FPlq85,21/10/2014 12:34,3,0,17,17,4,3,21,0,3,23.2,17.25,23.2,1,2,1,.,.,0.706707302,12.75,13.42105263,12.75,0.706707302,12.75,20.8,1,1
255,R_dj08veeSLd6Xv8N,22/10/2014 15:42,1,1,15,30,4,3,30,1,5,22,22,28.55,1,1,0,.,.,1,0,0,0,0.647330589,15.05,0,0,1
256,R_dmAmKVhkRzypUSp,21/10/2014 15:20,3,1,17,8,3,3,20,0,3,16.5,18,16.5,2,2,2,7,7,0.926721017,4.9,14,9.8,0.926721017,4.9,9.8,1,1
